Entity,Qualifiers,Preferred Ontologies,Value,Comments/Metadata,DOME
Model,bqbiol:hasProperty,Experimental Factor Ontology EFO,https://identifiers.org/EFO:0011061,Toxicity,
Model,bqbiol:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C61408,synthetic accessibility ,
Model,bqbiol:hasProperty,BioAssay Ontology BAO,https://identifiers.org/BAO:0000009,ADMET,
Model,bqbiol:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C45329,Active,
Model,bqbiol:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C154407,Inactive,
Model,bqbiol:hasProperty,Bioinformatics Concept EDAM,https://identifiers.org/bptl/edam:topic_0154,Small molecules,
Model,bqbiol:hasProperty,BioAssay Ontology BAO,https://identifiers.org/BAO:0002305,QSAR,
Model,bqbiol:hasProperty,Bioinformatics Concept EDAM,https://identifiers.org/bptl/edam:topic_3336,Drug discovery,
Model,bqmodel:hasProperty,Bioinformatics Concept EDAM,https://identifiers.org/bptl/edam:topic_3474,Machine learning,
Model,bqmodel:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C16309,Artificial Intelligence,
Model,bqmodel:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C176258,Deep Learning,
Model,bqmodel:hasProperty,Ontology for MIRNA Target OMIT,https://identifiers.org/OMIT:0004946,Decision Tree,Optimization-Algorithm
Model,bqmodel:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C53237,Regression Method,Optimization-Algorithm
Model,bqmodel:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C17429,Neural network,Optimization-Algorithm
Model,bqmodel:hasProperty,STATO: the statistical methods ontology,https://identifiers.org/STATO:0000415,accuracy,Evaluation-Performance Measure
Model,bqmodel:hasProperty,OBCS: Ontology of Biological and Clinical Statistics OBCS,http://identifiers.org/OBCS:0000058,sensitivity,Evaluation-Performance Measure
Model,bqmodel:hasProperty,STATO: the statistical methods ontology,http://identifiers.org/STATO:0000053,false positive rate,Evaluation-Performance Measure
Model,bqmodel:hasProperty,STATO: the statistical methods ontology,https://identifiers.org/STATO:0000524,Matthews correlation coefficient,Evaluation-Performance Measure
Model,bqmodel:hasProperty,STATO: the statistical methods ontology,https://identifiers.org/STATO:0000274,AUCâ€“ROC,Evaluation-Performance Measure
Model,bqmodel:hasProperty,STATO: the statistical methods ontology,https://identifiers.org/STATO:0000037,mean squared error (MSE),Evaluation-Performance Measure
Model,bqmodel:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C65172,Pearson correlation coefficient (PCC),Evaluation-Performance Measure
Model,bqmodel:hasProperty,Ontology for Biomedical Investigations OBI,https://identifiers.org/obi:OBI_0200032,5-fold cross-validation,Evaluation-Method
Model,bqmodel:isDescribedBy,Ersilia Model Hub,https://github.com/ersilia-os/eos92sw,Ersilia Incorporation URL,Model-Executable form
Model,bqmodel:isDescribedBy,GitHub Repository,https://github.com/pulimeng/eToxPred,eToxPred Source Code,Model-Source code
Model,bqmodel:isDescribedBy,PubMed Identification Number PMID,https://identifiers.org/pubmed:30621790,PubMed URL,
Model,bqbiol:hasInput,Chemical information ontology (cheminf),https://identifiers.org/CHEMINF:000018,Smiles descriptors,Data - Input
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,https://nubbe.iq.unesp.br/portal/nubbe-search.html,NuBBE Dataset,Data - Source
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,http://pkuxxj.pku.edu.cn/UNPD,Universal Natural Products Database (UNPD),Data - Source
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,https://dudez.docking.org/,"Data-base of Useful Decoys, Extended (DUD-E)",Data - Source
Model,bqbiol:hasDataset,BioAssay Ontology BAO,https://identifiers.org/BAO:0700004,FDA-approved drugs,Data - Source
Model,bqbiol:hasDataset,Molecular Interactions oOntology MI,https://identifiers.org/MI:0470,Kyoto Encyclopedia of Genes and Genomes (KEGG) Compound,Data - Source
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,https://web.archive.org/web/20191001095455/https://toxnet.nlm.nih.gov/,TOXNET Database,Data - Source
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,http://www.t3db.ca/,"Toxin and Toxin Target Database (T3DB),",Data - Source
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,http://tcm.cmu.edu.tw/,Traditional Chinese Medicine (TCM) Database,Data - Source
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,https://files.toxplanet.com/cpdb/index.html,Carcinogenicity Potency (CP) database,Data - Source
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,https://tox.charite.de/protox3/,SuperToxic database,Data - Source
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C47824,Cardiotoxicity (CD) dataset,Data - Source
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C47824,Endocrine disruption (ED) dataset,Data - Source
Model,bqbiol:hasDataset,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C47824,Acute oral toxicity (AO) dataset,Data - Source
Model,bqbiol:hasOutput,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C25338,synthetic accessibility (SA) score,Model-output
Model,bqbiol:hasOutput,Experimental Factor Ontology EFO,https://identifiers.org/EFO:0011061,toxicity (Tox) score,Model-output